countryname,countrycode,var1,var2,var3,var4,var5,var6,var7,var8,var9
Albania,ALB,.74197,96.46889,90.54527,412.8957,406.6567,11800,..,..,2
Algeria,DZA,..,76.10744,..,356.8391,348.7972,14260,..,..,2
Argentina,ARG,2.38742,89.9395,89.85171,407.4132,427.6997,20030,..,5.78565,2
Australia,AUS,1.62449,..,92.71159,495.3505,508.7095,45230,..,..,2
Austria,AUT,2.17453,96.0398,84.95183,500.7409,490.9135,49390,..,..,2
Belgium,BEL,..,95.03984,85.47176,512.7295,507.1101,45330,..,..,2
Brazil,BRA,2.58198,..,83.31311,371.3515,404.8044,15360,..,..,2
Bulgaria,BGR,..,48.08207,95.81945,440.8897,436.6862,17820,..,..,2
Canada,CAN,..,..,99.94666,517.6515,531.3152,43720,..,..,2
Chile,CHL,1.43118,92.97159,77.97418,421.6818,460.5004,22290,..,..,2
China,CHN,..,..,..,537.6656,501.1963,14440,..,..,1
Colombia,COL,1.59344,77.64299,77.33186,386.3858,425.2064,13530,..,3.38647,2
Costa Rica,CRI,2.38546,59.13885,77.60461,397.616,426.7143,15050,..,..,2
Croatia,HRV,..,..,97.60586,462.2638,488.5583,22860,..,..,2
Cyprus,CYP,2.63435,97.61321,95.32878,437.5244,446.8593,31980,..,..,2
Czech Republic,CZE,1.72534,98.901,84.94709,494.1965,492.3631,31420,..,..,2
Denmark,DNK,..,97.60019,91.7673,513.4732,505.4148,50360,..,..,2
Dominican Republic,DOM,1.2897,78.42523,61.07617,324.0882,353.7894,13700,..,2.02025,2
Estonia,EST,1.35091,107.24651,91.43698,520.6267,522.5063,28570,..,..,2
Finland,FIN,2.65718,100.08354,96.59672,513.8009,534.3968,42530,..,..,2
France,FRA,2.37164,96.14942,94.19756,498.538,509.7484,41720,..,..,2
Georgia,GEO,..,104.60872,93.68431,403.1479,403.0975,9350,..,..,2
Germany,DEU,2.01464,56.8386,..,507.947,515.5191,49010,..,..,2
Greece,GRC,1.43783,91.468,90.98214,454.8271,473.235,26940,..,..,2
"Hong Kong SAR, China",HKG,1.10628,100.17797,96.25298,553.8135,533.1933,58290,..,..,1
Hungary,HUN,1.74462,93.7773,94.18034,479.7138,475.0375,25190,..,..,2
Iceland,ISL,2.1691,..,99.38382,488.6388,484.7936,46480,..,..,2
Indonesia,IDN,.96743,93.59512,79.44257,381.0865,397.3684,10710,..,..,1
Ireland,IRL,1.25522,98.85194,98.01254,505.0397,524.4913,52990,..,..,2
Israel,ISR,1.80125,105.57683,93.58688,473.381,485.2209,35210,..,..,1
Italy,ITA,1.74407,100.56422,98.09561,490.8815,489.0659,36640,..,..,2
Japan,JPN,..,101.55527,99.89779,536.0616,523.2266,41990,..,..,1
Jordan,JOR,..,..,..,381.5229,416.4068,8960,..,..,1
Kazakhstan,KAZ,1.83377,108.45083,98.3335,456.9546,425.1029,23620,..,2.47615,1
"Korea, Rep.",KOR,2.09199,108.74554,97.05167,528.8751,524.4118,35860,..,..,1
Kosovo,XKX,..,..,..,360.2927,349.5356,9940,..,..,2
Latvia,LVA,1.6756,95.57563,92.59494,482.9958,491.4209,24580,..,..,2
Lebanon,LBN,..,53.46448,..,392.2701,338.6303,14030,..,..,2
Lithuania,LTU,1.54678,101.01957,99.31682,478.5455,474.6963,..,..,..,2
Luxembourg,LUX,1.594,96.86347,88.64358,486.5572,487.0914,69470,..,..,2
"Macao SAR, China",MAC,1.72351,93.05809,78.68927,546.5356,513.5728,98610,..,..,1
Malaysia,MYS,..,86.72194,88.21336,446.5828,435.1857,25980,..,..,1
Malta,MLT,1.97763,94.91286,97.46486,485.0161,455.791,34260,..,..,2
Mexico,MEX,1.69287,87.92116,86.63685,407.415,424.6595,17260,..,..,2
Moldova,MDA,2.5647,84.07425,84.00674,419.4371,417.886,5430,..,.40901,2
Montenegro,MNE,..,92.38648,95.8336,416.0362,427.1077,16700,..,..,2
Netherlands,NLD,2.20874,..,87.42461,516.4415,508.523,50340,..,..,2
New Zealand,NZL,2.34313,..,97.25974,496.5105,514.0451,36300,..,..,2
North Macedonia,MKD,..,88.08188,..,369.1312,352.6691,13400,..,..,2
Norway,NOR,2.21778,99.65033,99.66938,503.6949,518.2761,63030,..,..,2
Peru,PER,1.22097,85.83692,78.09732,384.0765,397.89555,12140,..,1.26119,2
Poland,POL,1.48308,93.94809,92.59234,505.1612,510.9611,25910,..,..,2
Portugal,PRT,2.08051,..,85.94417,494.5161,503.5515,28870,..,..,2
Qatar,QAT,..,88.39094,88.32741,397.2814,402.7262,125200,..,..,2
Romania,ROU,1.2772,88.6275,88.16586,442.2697,435.0643,21130,..,..,2
Russian Federation,RUS,..,98.52444,99.39463,494.4101,495.1502,23400,..,..,2
Singapore,SGP,..,..,..,570.706,542.0488,84000,..,..,1
Slovak Republic,SVK,1.76364,86.67971,82.83434,479.0315,459.2685,28950,..,..,2
Slovenia,SVN,1.68903,98.46129,96.79344,512.4397,510.1376,30660,..,..,2
Spain,ESP,1.5741,93.61278,94.28234,488.7116,501.5772,34930,..,..,2
Sweden,SWE,2.04709,105.79423,98.55757,496.1267,507.0983,49060,..,..,2
Switzerland,CHE,1.81578,96.67343,96.75623,526.1143,498.7047,65450,..,..,2
Thailand,THA,..,78.68872,76.3077,412.4933,407.4623,15450,..,..,1
Trinidad and Tobago,TTO,..,..,..,414.5828,428.4998,33330,..,..,2
Tunisia,TUN,4.7237,70.82054,..,362.9747,360.8264,11140,..,..,2
Turkey,TUR,1.62325,95.10945,88.74958,417.0785,428.9667,25420,..,..,2
United Arab Emirates,ARE,..,..,..,423.3323,435.0115,71440,..,..,1
United Kingdom,GBR,2.31092,..,96.22121,495.5819,500.2571,41090,..,..,2
United States,USA,1.71826,..,..,469.8556,501.1157,58300,..,..,2
Uruguay,URY,..,..,84.05579,414.7852,435.5863,20590,..,5.88132,2
Vietnam,VNM,..,99.447,..,491.8686,486.9187,5630,..,..,1
